date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2015-06-09,11492.447,11503.858,11644.021,11502.083,,,0.0,0.0
2015-06-08,11721.936,11530.77,11722.496,11508.14,,,0.0,0.0
2015-06-05,11799.679,11718.204,11716.37,11469.157,,,0.0,0.0
2015-06-04,11826.548,11678.815,11567.15,11390.257,,,0.0,0.0
2015-06-03,11963.066,11788.459,11401.698,11308.006,,,0.0,0.0
2015-06-02,11601.77,11896.232,11360.144,11167.886,,,0.0,0.0
2015-06-01,11095.643,11500.139,11293.783,10997.891,,,0.0,0.0
2015-05-29,10856.875,10972.107,11221.944,10840.811,,,0.0,0.0
2015-05-28,11587.388,10851.555,11213.363,10706.899,,,0.0,0.0
2015-05-27,11645.874,11580.686,11214.314,10592.414,,,0.0,0.0
2015-05-26,11247.693,11564.428,10975.627,10406.864,,,0.0,0.0
2015-05-25,10809.544,11140.945,10701.998,10210.143,,,0.0,0.0
2015-05-22,11031.334,10929.201,10459.679,10036.463,,,0.0,0.0
2015-05-21,10451.527,10856.31,10200.435,9837.316,,,0.0,0.0
2015-05-20,10266.235,10387.252,9970.514,9605.894,,,0.0,0.0
2015-05-19,10000.55,10196.282,9838.101,9428.709,,,0.0,0.0
2015-05-18,9618.501,9929.348,9718.288,9266.143,,,0.0,0.0
2015-05-15,9677.524,9632.983,9613.246,9154.48,,,0.0,0.0
2015-05-14,9764.357,9706.707,9474.197,9068.9,,,0.0,0.0
2015-05-13,9547.215,9725.186,9241.274,8978.044,,,0.0,0.0
2015-05-12,9436.468,9597.214,9019.318,8869.245,True,,1906.644,0.0
2015-05-11,9008.974,9404.142,8813.999,8803.058,,,0.0,0.0
2015-05-08,8641.946,8937.736,8695.714,8751.623,,,0.0,0.0
2015-05-07,8589.836,8542.094,8663.602,8746.457,,,0.0,0.0
2015-05-06,8629.608,8615.402,8714.814,8769.841,,True,0.0,-3173.057
2015-05-05,8797.677,8570.619,8719.173,8761.553,,,0.0,0.0
2015-05-04,8799.727,8812.721,8792.117,8725.895,,,0.0,0.0
2015-04-30,8828.277,8777.176,8807.531,8688.843,,,0.0,0.0
2015-04-29,8602.639,8798.153,8829.311,8656.145,,,0.0,0.0
2015-04-28,8936.579,8637.195,8824.867,8610.357,,,0.0,0.0
2015-04-27,8973.879,8935.338,8803.932,8612.953,,,0.0,0.0
2015-04-24,8798.981,8889.791,8659.673,8590.931,True,,2251.154,0.0
2015-04-23,8828.061,8886.079,8570.156,8553.871,,,0.0,0.0
2015-04-22,8604.266,8775.934,8482.979,8493.287,,,0.0,0.0
