,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma5_crossdown_20,ma_cross_earnings
209,4615.03,4521.92,4671.17,4492.6,4490.1,4403.35,4219.975,2839.291,4153.527,-461.503,,,
210,4578.68,4596.14,4630.27,4553.9,4469.9,4368.25,4188.5,2839.291,4120.812,-457.868,,,
211,4355.49,4513.55,4513.77,4335.63,4419.6,4321.1,4150.7,2839.291,3919.941,-435.549,,,
212,4439.31,4380.51,4476.0,4379.61,4369.3,4282.15,4117.325,2839.291,3995.379,-443.931,,,
213,4432.13,4438.18,4474.351,4385.91,4352.3,4249.2,4086.15,2839.291,3988.917,-443.213,,,
214,4394.05,4421.07,4432.021,4361.59,4316.6,4214.2,4049.5,2839.291,3954.645,-439.405,,,
215,4249.38,4344.42,4351.69,4231.2,4266.6,4169.25,4009.35,2839.291,3824.442,-424.938,,,
216,4316.96,4262.14,4332.17,4212.61,4222.6,4129.8,3971.75,2839.291,3885.264,-431.696,,,
217,4277.45,4295.8,4304.78,4204.83,4195,4097.65,3934.9,2934.651,3849.705,-427.745,,,
218,4213.89,4260.04,4260.47,4197.02,4146.1,4065.4,3896.15,2952.011,3792.501,-421.389,,,
219,4104.669,4170.54,4170.56,4092.379,4111.8,4036.6,3860.025,2952.011,3694.2021,-410.4669,,,
220,4149.949,4124.779,4156.839,4068.649,4071.9,4008.75,3825.4,2952.011,3734.9541,-414.9949,,,
221,4057.5,4123.899,4139.5,4046.939,4037,3980.3,3794,2952.011,3651.75,-405.75,,,
222,4138.879,4051.199,4166.02,4037.769,4000.3,3952.5,3764.35,2952.011,3724.9911,-413.8879,,,
223,3999.019,4088.179,4101.649,3999.019,3984.7,3923.1,3737.2,2952.011,3599.1171,-399.9019,,,
224,3957.539,3971.699,3993.029,3932.869,3961.4,3884.8,3712.825,2952.011,3561.7851,-395.7539,,,
225,3921.749,3949.999,3991.999,3892.879,3945.6,3849.45,3692.9,2952.011,3529.5741,-392.1749,,,
226,3961.579,3940.409,3980.719,3913.989,3923.6,3813.7,3673.7,2952.011,3565.4211,-396.1579,,,
227,3980.069,3973.049,3989.859,3883.779,3904.7,3772.15,3650.625,2952.011,3582.0621,-398.0069,,,
228,3923.079,3972.059,3972.299,3922.209,3861.5,3726.9,3628.075,2952.011,3530.7711,-392.3079,,,
229,3852.489,3892.569,3916.859,3832.419,3808.2,3683.45,3604.45,2952.011,3467.2401,-385.2489,,,
230,3851.249,3839.739,3859.129,3809.709,3753.3,3642.05,3583.325,2952.011,3466.1241,-385.1249,,,
231,3769.089,3846.049,3846.049,3763.849,3703.8,3607.7,3563.475,2952.011,3392.1801,-376.9089,,,
232,3733.959,3757.119,3762.569,3716.809,3639.6,3576.2,3542.875,2952.011,3360.5631,-373.3959,,,
233,3641.769,3705.669,3705.739,3621.119,3592.3,3551.3,3525.375,2952.011,3277.5921,-364.1769,True,,-364.17689999999993
234,3604.669,3617.659,3641.389,3594.739,3558.7,3540.85,3507.4,2952.011,3244.2021,-360.4669,,,
235,3557.689,3592.839,3603.339,3536.529,3530.8,3536.35,3492.125,2952.011,3201.9201,-355.7689,,,
236,3524.569,3524.649,3568.919,3512.219,3511.6,3533.7,3480.85,2952.011,3172.1121,-352.4569,,,
237,3523.639,3520.609,3551.209,3511.989,3512.8,3529.1,3474.675,2952.011,3171.2751,-352.3639,,,
238,3449.699,3537.749,3546.709,3417.489,3510.3,3529.25,3470.525,2952.011,3104.7291,-344.9699,,,
239,3501.179,3478.519,3516.239,3472.389,3523,3525.45,3461.35,2952.011,3151.0611,-350.1179,,,
240,3513.249,3496.339,3517.079,3467.679,3541.9,3524.6,3459.15,2952.011,3161.9241,-351.3249,,,
241,3514.669,3530.819,3540.909,3497.169,3555.8,3519.25,3458.4,2952.011,3163.2021,-351.4669,,,
242,3579.309,3507.899,3579.309,3504.199,3545.4,3509.55,3458.125,2952.011,3221.3781,-357.9309,,,
243,3603.449,3601.259,3608.689,3566.529,3548.2,3499.45,3461.475,2952.011,3243.1041,-360.3449,,,
244,3565.229,3572.839,3594.809,3560.459,3527.9,3473.95,3461.825,2952.011,3208.7061,-356.5229,,,
245,3473.709,3566.289,3569.329,3456.869,3507.3,3447.9,3461.75,2952.011,3126.3381,-347.3709,,,
246,3529.549,3478.729,3529.549,3463.959,3482.7,3428,3461.825,2952.011,3176.5941,-352.9549,,,
247,3511.539,3522.319,3536.819,3511.089,3473.7,3420.25,3465.325,2952.011,3160.3851,-351.1539,,,
248,3473.289,3499.479,3504.479,3466.609,3450.7,3411.8,3459.05,2952.011,3125.9601,-347.3289,True,,-347.3289
249,3458.829,3469.829,3509.499,3452.079,3420,3397.25,3451.825,2952.011,3112.9461,-345.8829,,,
250,3435.359,3442.869,3453.579,3405.629,3388.5,3393.7,3460.075,2952.011,3091.8231,-343.5359,,,
251,3415.979,3434.119,3445.659,3412.139,3373.3,3397.55,3468.15,2952.011,3074.3811,-341.5979,,,
252,3345.079,3406.939,3407.179,3339.549,3366.8,3406.7,3471.55,2952.011,3010.5711,-334.5079,,,
