date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2015-05-25,45.1,43.442,39.366,36.154,True,-27.39,0.0
2015-05-22,45.74,41.93,38.262,35.621,True,-28.99,0.0
2015-05-21,44.78,39.622,36.913,34.985,True,-28.07,0.0
2015-05-20,41.97,37.664,35.531,34.416,True,-23.41,0.0
2015-05-19,39.62,36.374,34.645,33.976,True,9.12,0.0
2015-05-18,37.54,35.29,33.963,33.557,True,7.56,0.0
2015-05-15,34.2,34.594,33.532,33.385,False,0.0,11.54
2015-05-14,34.99,34.204,33.461,33.464,True,9.79,0.0
2015-05-13,35.52,33.398,33.25,33.664,True,6.45,0.0
2015-05-12,34.2,32.916,32.919,33.756,True,5.42,0.0
2015-05-11,34.06,32.636,32.941,33.767,True,3.48,0.0
2015-05-08,32.25,32.47,32.98,33.691,False,0.0,1.95
2015-05-07,30.96,32.718,33.056,33.7,False,0.0,4.03
2015-05-06,33.11,33.102,33.3,33.685,True,2.41,0.0
2015-05-05,32.8,32.922,33.306,33.52,False,0.0,1.4
2015-05-04,33.23,33.246,33.15,33.38,False,0.0,0.83
2015-04-30,33.49,33.49,33.238,33.218,False,0.0,0.0
2015-04-29,32.88,33.394,33.466,33.078,False,0.0,-1.92
2015-04-28,32.21,33.498,34.078,32.903,False,0.0,0.9
2015-04-27,34.42,33.69,34.593,32.783,True,-1.62,0.0
2015-04-24,34.45,33.054,34.593,32.427,True,-1.22,0.0
2015-04-23,33.01,32.986,34.401,32.08,True,0.48,0.0
2015-04-22,33.4,33.538,34.344,31.773,False,0.0,-0.52
2015-04-21,33.17,34.658,34.069,31.449,False,0.0,-0.96
2015-04-20,31.24,35.496,33.734,31.157,False,0.0,3.18
2015-04-17,34.11,36.132,33.609,30.943,False,0.0,0.34
2015-04-16,35.77,35.816,33.197,30.56,False,0.0,-2.76
2015-04-08,39.0,35.15,32.69,30.044,True,-5.6,0.0
2015-04-07,37.36,33.48,31.728,29.361,True,-4.19,0.0
2015-04-03,34.42,31.972,30.972,28.685,True,-3.18,0.0
2015-04-02,32.53,31.086,30.26,28.165,True,1.58,0.0
2015-04-01,32.44,30.578,29.758,27.789,True,3.33,0.0
2015-03-31,30.65,30.23,29.202,27.402,True,8.35,0.0
2015-03-30,29.82,29.976,28.828,27.069,False,0.0,7.54
2015-03-27,29.99,29.972,28.579,26.768,True,4.43,0.0
2015-03-26,29.99,29.434,28.276,26.468,True,2.54,0.0
